,date,vessel_type,source,destination,price
761814,2026-03-08,Supramax,Mozambique,Sagar/Sandheads,29.16
554550,2026-03-08,Panamax,Mozambique,Visakhapatnam,38.48
316806,2026-03-08,Handysize,Mozambique,Gopalpur,21.17
24198,2026-03-08,Capesize,Australia,Haldia,20.15
700854,2026-03-08,Supramax,Indonesia,Gopalpur,19.05
731334,2026-03-08,Supramax,Mozambique,Dhamra,29.35
828870,2026-03-08,Supramax,USA,Gopalpur,24.32
353382,2026-03-08,Handysize,Russia,Gangavaram,25.61
66870,2026-03-08,Capesize,Indonesia,Haldia,22.99
627702,2026-03-08,Panamax,USA,Paradip,29.16
688662,2026-03-08,Supramax,Indonesia,Dhamra,15.93
261942,2026-03-08,Handysize,Indonesia,Dhamra,14.94
639894,2026-03-08,Panamax,USA,Visakhapatnam,25.11
560646,2026-03-08,Panamax,Russia,Dhamra,39.36
676470,2026-03-08,Supramax,Australia,Sagar/Sandheads,26.37
115638,2026-03-08,Capesize,Mozambique,Paradip,13.9
719142,2026-03-08,Supramax,Indonesia,Sagar/Sandheads,22.06
60774,2026-03-08,Capesize,Indonesia,Gopalpur,14.36
207078,2026-03-08,Capesize,USA,Sagar/Sandheads,23.9
603318,2026-03-08,Panamax,USA,Dhamra,35.91
591126,2026-03-08,Panamax,Russia,Sagar/Sandheads,36.98
377766,2026-03-08,Handysize,Russia,Sagar/Sandheads,35.96
341190,2026-03-08,Handysize,Mozambique,Visakhapatnam,13.66
694758,2026-03-08,Supramax,Indonesia,Gangavaram,24.43
585030,2026-03-08,Panamax,Russia,Paradip,32.51
310710,2026-03-08,Handysize,Mozambique,Gangavaram,20.3
225366,2026-03-08,Handysize,Australia,Gangavaram,17.71
396054,2026-03-08,Handysize,USA,Gangavaram,27.32
91254,2026-03-08,Capesize,Mozambique,Dhamra,13.59
286326,2026-03-08,Handysize,Indonesia,Paradip,21.05
176598,2026-03-08,Capesize,USA,Dhamra,20.63
359478,2026-03-08,Handysize,Russia,Gopalpur,23.08
780102,2026-03-08,Supramax,Russia,Gangavaram,36.97
5910,2026-03-08,Capesize,Australia,Dhamra,19.12
79062,2026-03-08,Capesize,Indonesia,Sagar/Sandheads,18.62
298518,2026-03-08,Handysize,Indonesia,Visakhapatnam,24.93
268038,2026-03-08,Handysize,Indonesia,Gangavaram,25.74
146118,2026-03-08,Capesize,Russia,Gopalpur,16.67
670374,2026-03-08,Supramax,Australia,Paradip,27.2
444822,2026-03-08,Panamax,Australia,Gopalpur,30.47
572838,2026-03-08,Panamax,Russia,Gopalpur,33.89
664278,2026-03-08,Supramax,Australia,Haldia,30.61
328998,2026-03-08,Handysize,Mozambique,Paradip,26.6
505782,2026-03-08,Panamax,Indonesia,Sagar/Sandheads,31.89
841062,2026-03-08,Supramax,USA,Paradip,35.13
109542,2026-03-08,Capesize,Mozambique,Haldia,15.93
469206,2026-03-08,Panamax,Australia,Visakhapatnam,39.27
243654,2026-03-08,Handysize,Australia,Paradip,16.3
792294,2026-03-08,Supramax,Russia,Haldia,35.84
72966,2026-03-08,Capesize,Indonesia,Paradip,14.03
36390,2026-03-08,Capesize,Australia,Sagar/Sandheads,16.4
645990,2026-03-08,Supramax,Australia,Dhamra,30.14
810582,2026-03-08,Supramax,Russia,Visakhapatnam,31.74
566742,2026-03-08,Panamax,Russia,Gangavaram,31.78
725238,2026-03-08,Supramax,Indonesia,Visakhapatnam,36.74
121734,2026-03-08,Capesize,Mozambique,Sagar/Sandheads,23.3
621606,2026-03-08,Panamax,USA,Haldia,35.1
152214,2026-03-08,Capesize,Russia,Haldia,20.89
402150,2026-03-08,Handysize,USA,Gopalpur,24.8
426534,2026-03-08,Handysize,USA,Visakhapatnam,24.73
408246,2026-03-08,Handysize,USA,Haldia,26.49
658182,2026-03-08,Supramax,Australia,Gopalpur,22.31
420438,2026-03-08,Handysize,USA,Sagar/Sandheads,37.29
200982,2026-03-08,Capesize,USA,Paradip,16.4
536262,2026-03-08,Panamax,Mozambique,Haldia,30.83
786198,2026-03-08,Supramax,Russia,Gopalpur,30.23
182694,2026-03-08,Capesize,USA,Gangavaram,18.34
816678,2026-03-08,Supramax,USA,Dhamra,34.79
737430,2026-03-08,Supramax,Mozambique,Gangavaram,22.62
834966,2026-03-08,Supramax,USA,Haldia,30.02
371670,2026-03-08,Handysize,Russia,Paradip,29.58
97350,2026-03-08,Capesize,Mozambique,Gangavaram,16.58
530166,2026-03-08,Panamax,Mozambique,Gopalpur,26.35
499686,2026-03-08,Panamax,Indonesia,Paradip,42.19
475302,2026-03-08,Panamax,Indonesia,Dhamra,18.97
188790,2026-03-08,Capesize,USA,Gopalpur,18.23
237558,2026-03-08,Handysize,Australia,Haldia,23.97
103446,2026-03-08,Capesize,Mozambique,Gopalpur,20.34
481398,2026-03-08,Panamax,Indonesia,Gangavaram,26.99
18102,2026-03-08,Capesize,Australia,Gopalpur,14.1
652086,2026-03-08,Supramax,Australia,Gangavaram,23.79
42486,2026-03-08,Capesize,Australia,Visakhapatnam,16.66
463110,2026-03-08,Panamax,Australia,Sagar/Sandheads,28.77
853254,2026-03-08,Supramax,USA,Visakhapatnam,35.08
633798,2026-03-08,Panamax,USA,Sagar/Sandheads,51.95
511878,2026-03-08,Panamax,Indonesia,Visakhapatnam,31.22
578934,2026-03-08,Panamax,Russia,Haldia,32.57
347286,2026-03-08,Handysize,Russia,Dhamra,22.9
54678,2026-03-08,Capesize,Indonesia,Gangavaram,13.62
487494,2026-03-08,Panamax,Indonesia,Gopalpur,19.04
389958,2026-03-08,Handysize,USA,Dhamra,24.78
414342,2026-03-08,Handysize,USA,Paradip,28.69
774006,2026-03-08,Supramax,Russia,Dhamra,20.83
274134,2026-03-08,Handysize,Indonesia,Gopalpur,23.03
213174,2026-03-08,Capesize,USA,Visakhapatnam,23.73
194886,2026-03-08,Capesize,USA,Haldia,26.04
548454,2026-03-08,Panamax,Mozambique,Sagar/Sandheads,37.33
158310,2026-03-08,Capesize,Russia,Paradip,18.76
682566,2026-03-08,Supramax,Australia,Visakhapatnam,26.99
713046,2026-03-08,Supramax,Indonesia,Paradip,22.76
48582,2026-03-08,Capesize,Indonesia,Dhamra,11.69
822774,2026-03-08,Supramax,USA,Gangavaram,32.91
133926,2026-03-08,Capesize,Russia,Dhamra,23.54
767910,2026-03-08,Supramax,Mozambique,Visakhapatnam,31.08
335094,2026-03-08,Handysize,Mozambique,Sagar/Sandheads,26.75
304614,2026-03-08,Handysize,Mozambique,Dhamra,23.9
365574,2026-03-08,Handysize,Russia,Haldia,31.43
615510,2026-03-08,Panamax,USA,Gopalpur,31.84
164406,2026-03-08,Capesize,Russia,Sagar/Sandheads,21.44
322902,2026-03-08,Handysize,Mozambique,Haldia,20.13
493590,2026-03-08,Panamax,Indonesia,Haldia,29.11
170503,2026-03-09,Capesize,Russia,Visakhapatnam,20.99
261943,2026-03-09,Handysize,Indonesia,Dhamra,15.46
158311,2026-03-09,Capesize,Russia,Paradip,19.16
133927,2026-03-09,Capesize,Russia,Dhamra,22.98
475303,2026-03-09,Panamax,Indonesia,Dhamra,19.22
499687,2026-03-09,Panamax,Indonesia,Paradip,40.98
438727,2026-03-09,Panamax,Australia,Gangavaram,33.22
792295,2026-03-09,Supramax,Russia,Haldia,35.29
530167,2026-03-09,Panamax,Mozambique,Gopalpur,25.33
444823,2026-03-09,Panamax,Australia,Gopalpur,31.0
274135,2026-03-09,Handysize,Indonesia,Gopalpur,22.56
66871,2026-03-09,Capesize,Indonesia,Haldia,22.35
188791,2026-03-09,Capesize,USA,Gopalpur,18.58
706951,2026-03-09,Supramax,Indonesia,Haldia,24.42
688663,2026-03-09,Supramax,Indonesia,Dhamra,16.11
822775,2026-03-09,Supramax,USA,Gangavaram,31.68
493591,2026-03-09,Panamax,Indonesia,Haldia,30.82
60775,2026-03-09,Capesize,Indonesia,Gopalpur,14.3
627703,2026-03-09,Panamax,USA,Paradip,27.39
36391,2026-03-09,Capesize,Australia,Sagar/Sandheads,16.29
347287,2026-03-09,Handysize,Russia,Dhamra,22.98
243655,2026-03-09,Handysize,Australia,Paradip,15.97
450919,2026-03-09,Panamax,Australia,Haldia,34.75
511879,2026-03-09,Panamax,Indonesia,Visakhapatnam,31.5
560647,2026-03-09,Panamax,Russia,Dhamra,38.86
578935,2026-03-09,Panamax,Russia,Haldia,31.81
176599,2026-03-09,Capesize,USA,Dhamra,20.58
542359,2026-03-09,Panamax,Mozambique,Paradip,24.55
371671,2026-03-09,Handysize,Russia,Paradip,29.87
237559,2026-03-09,Handysize,Australia,Haldia,22.93
804487,2026-03-09,Supramax,Russia,Sagar/Sandheads,29.9
536263,2026-03-09,Panamax,Mozambique,Haldia,32.31
103447,2026-03-09,Capesize,Mozambique,Gopalpur,21.34
402151,2026-03-09,Handysize,USA,Gopalpur,25.15
676471,2026-03-09,Supramax,Australia,Sagar/Sandheads,26.52
847159,2026-03-09,Supramax,USA,Sagar/Sandheads,30.04
408247,2026-03-09,Handysize,USA,Haldia,26.59
353383,2026-03-09,Handysize,Russia,Gangavaram,25.25
853255,2026-03-09,Supramax,USA,Visakhapatnam,34.79
633799,2026-03-09,Panamax,USA,Sagar/Sandheads,52.21
469207,2026-03-09,Panamax,Australia,Visakhapatnam,38.19
85159,2026-03-09,Capesize,Indonesia,Visakhapatnam,18.51
115639,2026-03-09,Capesize,Mozambique,Paradip,13.48
621607,2026-03-09,Panamax,USA,Haldia,36.11
719143,2026-03-09,Supramax,Indonesia,Sagar/Sandheads,21.2
121735,2026-03-09,Capesize,Mozambique,Sagar/Sandheads,24.21
72967,2026-03-09,Capesize,Indonesia,Paradip,14.54
725239,2026-03-09,Supramax,Indonesia,Visakhapatnam,36.86
164407,2026-03-09,Capesize,Russia,Sagar/Sandheads,21.04
810583,2026-03-09,Supramax,Russia,Visakhapatnam,32.92
645991,2026-03-09,Supramax,Australia,Dhamra,31.13
383863,2026-03-09,Handysize,Russia,Visakhapatnam,22.17
682567,2026-03-09,Supramax,Australia,Visakhapatnam,27.79
639895,2026-03-09,Panamax,USA,Visakhapatnam,23.97
566743,2026-03-09,Panamax,Russia,Gangavaram,32.76
426535,2026-03-09,Handysize,USA,Visakhapatnam,24.87
18103,2026-03-09,Capesize,Australia,Gopalpur,13.82
834967,2026-03-09,Supramax,USA,Haldia,32.2
97351,2026-03-09,Capesize,Mozambique,Gangavaram,16.58
737431,2026-03-09,Supramax,Mozambique,Gangavaram,22.97
767911,2026-03-09,Supramax,Mozambique,Visakhapatnam,32.4
420439,2026-03-09,Handysize,USA,Sagar/Sandheads,37.36
548455,2026-03-09,Panamax,Mozambique,Sagar/Sandheads,36.43
816679,2026-03-09,Supramax,USA,Dhamra,34.77
182695,2026-03-09,Capesize,USA,Gangavaram,18.93
194887,2026-03-09,Capesize,USA,Haldia,25.41
127831,2026-03-09,Capesize,Mozambique,Visakhapatnam,22.54
432631,2026-03-09,Panamax,Australia,Dhamra,32.1
786199,2026-03-09,Supramax,Russia,Gopalpur,29.6
524071,2026-03-09,Panamax,Mozambique,Gangavaram,28.34
774007,2026-03-09,Supramax,Russia,Dhamra,20.07
414343,2026-03-09,Handysize,USA,Paradip,27.61
517975,2026-03-09,Panamax,Mozambique,Dhamra,25.52
48583,2026-03-09,Capesize,Indonesia,Dhamra,12.14
200983,2026-03-09,Capesize,USA,Paradip,16.33
658183,2026-03-09,Supramax,Australia,Gopalpur,22.01
749623,2026-03-09,Supramax,Mozambique,Haldia,36.36
335095,2026-03-09,Handysize,Mozambique,Sagar/Sandheads,25.97
140023,2026-03-09,Capesize,Russia,Gangavaram,19.35
828871,2026-03-09,Supramax,USA,Gopalpur,24.51
743527,2026-03-09,Supramax,Mozambique,Gopalpur,20.9
79063,2026-03-09,Capesize,Indonesia,Sagar/Sandheads,19.57
359479,2026-03-09,Handysize,Russia,Gopalpur,22.0
249751,2026-03-09,Handysize,Australia,Sagar/Sandheads,28.53
54679,2026-03-09,Capesize,Indonesia,Gangavaram,13.65
463111,2026-03-09,Panamax,Australia,Sagar/Sandheads,29.73
5911,2026-03-09,Capesize,Australia,Dhamra,18.67
207079,2026-03-09,Capesize,USA,Sagar/Sandheads,24.03
780103,2026-03-09,Supramax,Russia,Gangavaram,36.29
322903,2026-03-09,Handysize,Mozambique,Haldia,19.73
30295,2026-03-09,Capesize,Australia,Paradip,18.84
652087,2026-03-09,Supramax,Australia,Gangavaram,24.02
292423,2026-03-09,Handysize,Indonesia,Sagar/Sandheads,26.56
597223,2026-03-09,Panamax,Russia,Visakhapatnam,29.42
286327,2026-03-09,Handysize,Indonesia,Paradip,21.55
91255,2026-03-09,Capesize,Mozambique,Dhamra,13.8
713047,2026-03-09,Supramax,Indonesia,Paradip,22.22
798391,2026-03-09,Supramax,Russia,Paradip,24.55
761815,2026-03-09,Supramax,Mozambique,Sagar/Sandheads,28.9
572839,2026-03-09,Panamax,Russia,Gopalpur,35.18
298519,2026-03-09,Handysize,Indonesia,Visakhapatnam,25.63
152215,2026-03-09,Capesize,Russia,Haldia,21.05
365575,2026-03-09,Handysize,Russia,Haldia,30.49
841063,2026-03-09,Supramax,USA,Paradip,35.95
457015,2026-03-09,Panamax,Australia,Paradip,21.27
609415,2026-03-09,Panamax,USA,Gangavaram,31.97
505783,2026-03-09,Panamax,Indonesia,Sagar/Sandheads,33.0
304615,2026-03-09,Handysize,Mozambique,Dhamra,24.25
219271,2026-03-09,Handysize,Australia,Dhamra,24.26
328999,2026-03-09,Handysize,Mozambique,Paradip,26.29
615511,2026-03-09,Panamax,USA,Gopalpur,32.38
255847,2026-03-09,Handysize,Australia,Visakhapatnam,28.92
481399,2026-03-09,Panamax,Indonesia,Gangavaram,26.23
231463,2026-03-09,Handysize,Australia,Gopalpur,27.68
664279,2026-03-09,Supramax,Australia,Haldia,29.88
670375,2026-03-09,Supramax,Australia,Paradip,26.91
146119,2026-03-09,Capesize,Russia,Gopalpur,16.76
268039,2026-03-09,Handysize,Indonesia,Gangavaram,26.05
396055,2026-03-09,Handysize,USA,Gangavaram,27.44
487495,2026-03-09,Panamax,Indonesia,Gopalpur,19.43
755719,2026-03-09,Supramax,Mozambique,Paradip,19.42
694759,2026-03-09,Supramax,Indonesia,Gangavaram,24.29
591127,2026-03-09,Panamax,Russia,Sagar/Sandheads,36.62
341191,2026-03-09,Handysize,Mozambique,Visakhapatnam,14.13
42487,2026-03-09,Capesize,Australia,Visakhapatnam,16.19
109543,2026-03-09,Capesize,Mozambique,Haldia,16.22
24199,2026-03-09,Capesize,Australia,Haldia,19.97
731335,2026-03-09,Supramax,Mozambique,Dhamra,28.81
225367,2026-03-09,Handysize,Australia,Gangavaram,17.28
310711,2026-03-09,Handysize,Mozambique,Gangavaram,20.57
213175,2026-03-09,Capesize,USA,Visakhapatnam,23.33
389959,2026-03-09,Handysize,USA,Dhamra,25.18
554551,2026-03-09,Panamax,Mozambique,Visakhapatnam,38.68
316807,2026-03-09,Handysize,Mozambique,Gopalpur,20.8
280231,2026-03-09,Handysize,Indonesia,Haldia,23.9
377767,2026-03-09,Handysize,Russia,Sagar/Sandheads,35.54
12007,2026-03-09,Capesize,Australia,Gangavaram,14.19
585031,2026-03-09,Panamax,Russia,Paradip,31.61
603319,2026-03-09,Panamax,USA,Dhamra,35.9
700855,2026-03-09,Supramax,Indonesia,Gopalpur,18.75
615512,2026-03-10,Panamax,USA,Gopalpur,30.63
444824,2026-03-10,Panamax,Australia,Gopalpur,30.94
511880,2026-03-10,Panamax,Indonesia,Visakhapatnam,29.69
286328,2026-03-10,Handysize,Indonesia,Paradip,20.7
243656,2026-03-10,Handysize,Australia,Paradip,15.92
487496,2026-03-10,Panamax,Indonesia,Gopalpur,19.33
140024,2026-03-10,Capesize,Russia,Gangavaram,19.18
566744,2026-03-10,Panamax,Russia,Gangavaram,32.15
725240,2026-03-10,Supramax,Indonesia,Visakhapatnam,36.44
109544,2026-03-10,Capesize,Mozambique,Haldia,15.88
670376,2026-03-10,Supramax,Australia,Paradip,28.13
146120,2026-03-10,Capesize,Russia,Gopalpur,16.71
103448,2026-03-10,Capesize,Mozambique,Gopalpur,20.92
475304,2026-03-10,Panamax,Indonesia,Dhamra,19.09
207080,2026-03-10,Capesize,USA,Sagar/Sandheads,23.35
585032,2026-03-10,Panamax,Russia,Paradip,32.48
603320,2026-03-10,Panamax,USA,Dhamra,35.21
609416,2026-03-10,Panamax,USA,Gangavaram,32.09
682568,2026-03-10,Supramax,Australia,Visakhapatnam,28.19
591128,2026-03-10,Panamax,Russia,Sagar/Sandheads,35.71
121736,2026-03-10,Capesize,Mozambique,Sagar/Sandheads,23.66
60776,2026-03-10,Capesize,Indonesia,Gopalpur,14.56
505784,2026-03-10,Panamax,Indonesia,Sagar/Sandheads,32.72
298520,2026-03-10,Handysize,Indonesia,Visakhapatnam,24.88
115640,2026-03-10,Capesize,Mozambique,Paradip,13.81
847160,2026-03-10,Supramax,USA,Sagar/Sandheads,30.42
341192,2026-03-10,Handysize,Mozambique,Visakhapatnam,14.69
810584,2026-03-10,Supramax,Russia,Visakhapatnam,32.96
329000,2026-03-10,Handysize,Mozambique,Paradip,26.12
402152,2026-03-10,Handysize,USA,Gopalpur,25.9
621608,2026-03-10,Panamax,USA,Haldia,34.85
194888,2026-03-10,Capesize,USA,Haldia,26.54
664280,2026-03-10,Supramax,Australia,Haldia,29.64
42488,2026-03-10,Capesize,Australia,Visakhapatnam,15.31
780104,2026-03-10,Supramax,Russia,Gangavaram,36.78
237560,2026-03-10,Handysize,Australia,Haldia,23.22
5912,2026-03-10,Capesize,Australia,Dhamra,18.84
12008,2026-03-10,Capesize,Australia,Gangavaram,14.52
548456,2026-03-10,Panamax,Mozambique,Sagar/Sandheads,36.53
359480,2026-03-10,Handysize,Russia,Gopalpur,22.4
834968,2026-03-10,Supramax,USA,Haldia,31.94
377768,2026-03-10,Handysize,Russia,Sagar/Sandheads,35.76
133928,2026-03-10,Capesize,Russia,Dhamra,23.97
310712,2026-03-10,Handysize,Mozambique,Gangavaram,21.58
225368,2026-03-10,Handysize,Australia,Gangavaram,17.75
389960,2026-03-10,Handysize,USA,Dhamra,25.4
158312,2026-03-10,Capesize,Russia,Paradip,19.13
792296,2026-03-10,Supramax,Russia,Haldia,35.81
713048,2026-03-10,Supramax,Indonesia,Paradip,21.92
499688,2026-03-10,Panamax,Indonesia,Paradip,41.22
530168,2026-03-10,Panamax,Mozambique,Gopalpur,25.79
91256,2026-03-10,Capesize,Mozambique,Dhamra,13.24
420440,2026-03-10,Handysize,USA,Sagar/Sandheads,36.66
737432,2026-03-10,Supramax,Mozambique,Gangavaram,22.89
658184,2026-03-10,Supramax,Australia,Gopalpur,21.89
200984,2026-03-10,Capesize,USA,Paradip,15.36
268040,2026-03-10,Handysize,Indonesia,Gangavaram,26.06
426536,2026-03-10,Handysize,USA,Visakhapatnam,24.47
572840,2026-03-10,Panamax,Russia,Gopalpur,34.55
79064,2026-03-10,Capesize,Indonesia,Sagar/Sandheads,18.85
694760,2026-03-10,Supramax,Indonesia,Gangavaram,23.82
578936,2026-03-10,Panamax,Russia,Haldia,31.84
774008,2026-03-10,Supramax,Russia,Dhamra,20.83
188792,2026-03-10,Capesize,USA,Gopalpur,18.07
786200,2026-03-10,Supramax,Russia,Gopalpur,29.12
54680,2026-03-10,Capesize,Indonesia,Gangavaram,13.83
176600,2026-03-10,Capesize,USA,Dhamra,20.04
816680,2026-03-10,Supramax,USA,Dhamra,36.26
182696,2026-03-10,Capesize,USA,Gangavaram,17.86
371672,2026-03-10,Handysize,Russia,Paradip,28.19
493592,2026-03-10,Panamax,Indonesia,Haldia,30.14
365576,2026-03-10,Handysize,Russia,Haldia,30.23
841064,2026-03-10,Supramax,USA,Paradip,35.61
383864,2026-03-10,Handysize,Russia,Visakhapatnam,22.21
66872,2026-03-10,Capesize,Indonesia,Haldia,22.76
396056,2026-03-10,Handysize,USA,Gangavaram,27.5
828872,2026-03-10,Supramax,USA,Gopalpur,22.61
706952,2026-03-10,Supramax,Indonesia,Haldia,24.18
822776,2026-03-10,Supramax,USA,Gangavaram,31.82
347288,2026-03-10,Handysize,Russia,Dhamra,22.51
170504,2026-03-10,Capesize,Russia,Visakhapatnam,20.36
450920,2026-03-10,Panamax,Australia,Haldia,34.23
560648,2026-03-10,Panamax,Russia,Dhamra,39.26
542360,2026-03-10,Panamax,Mozambique,Paradip,25.76
274136,2026-03-10,Handysize,Indonesia,Gopalpur,22.34
438728,2026-03-10,Panamax,Australia,Gangavaram,32.43
18104,2026-03-10,Capesize,Australia,Gopalpur,13.75
524072,2026-03-10,Panamax,Mozambique,Gangavaram,28.64
261944,2026-03-10,Handysize,Indonesia,Dhamra,15.19
639896,2026-03-10,Panamax,USA,Visakhapatnam,25.28
97352,2026-03-10,Capesize,Mozambique,Gangavaram,16.09
804488,2026-03-10,Supramax,Russia,Sagar/Sandheads,28.38
767912,2026-03-10,Supramax,Mozambique,Visakhapatnam,32.02
536264,2026-03-10,Panamax,Mozambique,Haldia,31.32
127832,2026-03-10,Capesize,Mozambique,Visakhapatnam,22.23
432632,2026-03-10,Panamax,Australia,Dhamra,30.19
48584,2026-03-10,Capesize,Indonesia,Dhamra,11.65
700856,2026-03-10,Supramax,Indonesia,Gopalpur,19.15
731336,2026-03-10,Supramax,Mozambique,Dhamra,30.16
280232,2026-03-10,Handysize,Indonesia,Haldia,23.82
24200,2026-03-10,Capesize,Australia,Haldia,19.76
457016,2026-03-10,Panamax,Australia,Paradip,21.42
152216,2026-03-10,Capesize,Russia,Haldia,20.36
353384,2026-03-10,Handysize,Russia,Gangavaram,25.4
255848,2026-03-10,Handysize,Australia,Visakhapatnam,28.86
231464,2026-03-10,Handysize,Australia,Gopalpur,27.52
481400,2026-03-10,Panamax,Indonesia,Gangavaram,27.84
219272,2026-03-10,Handysize,Australia,Dhamra,24.67
798392,2026-03-10,Supramax,Russia,Paradip,24.28
743528,2026-03-10,Supramax,Mozambique,Gopalpur,21.04
652088,2026-03-10,Supramax,Australia,Gangavaram,23.21
316808,2026-03-10,Handysize,Mozambique,Gopalpur,20.66
408248,2026-03-10,Handysize,USA,Haldia,26.89
249752,2026-03-10,Handysize,Australia,Sagar/Sandheads,29.51
755720,2026-03-10,Supramax,Mozambique,Paradip,19.9
597224,2026-03-10,Panamax,Russia,Visakhapatnam,30.56
30296,2026-03-10,Capesize,Australia,Paradip,19.33
292424,2026-03-10,Handysize,Indonesia,Sagar/Sandheads,25.23
761816,2026-03-10,Supramax,Mozambique,Sagar/Sandheads,28.07
335096,2026-03-10,Handysize,Mozambique,Sagar/Sandheads,26.07
463112,2026-03-10,Panamax,Australia,Sagar/Sandheads,30.55
554552,2026-03-10,Panamax,Mozambique,Visakhapatnam,39.1
36392,2026-03-10,Capesize,Australia,Sagar/Sandheads,15.89
688664,2026-03-10,Supramax,Indonesia,Dhamra,16.42
213176,2026-03-10,Capesize,USA,Visakhapatnam,22.6
322904,2026-03-10,Handysize,Mozambique,Haldia,19.68
633800,2026-03-10,Panamax,USA,Sagar/Sandheads,52.06
627704,2026-03-10,Panamax,USA,Paradip,29.79
676472,2026-03-10,Supramax,Australia,Sagar/Sandheads,26.57
749624,2026-03-10,Supramax,Mozambique,Haldia,36.3
304616,2026-03-10,Handysize,Mozambique,Dhamra,23.9
414344,2026-03-10,Handysize,USA,Paradip,28.65
164408,2026-03-10,Capesize,Russia,Sagar/Sandheads,21.48
85160,2026-03-10,Capesize,Indonesia,Visakhapatnam,18.74
645992,2026-03-10,Supramax,Australia,Dhamra,31.13
72968,2026-03-10,Capesize,Indonesia,Paradip,14.64
469208,2026-03-10,Panamax,Australia,Visakhapatnam,39.33
853256,2026-03-10,Supramax,USA,Visakhapatnam,35.46
517976,2026-03-10,Panamax,Mozambique,Dhamra,25.03
719144,2026-03-10,Supramax,Indonesia,Sagar/Sandheads,20.78
487497,2026-03-11,Panamax,Indonesia,Gopalpur,18.89
109545,2026-03-11,Capesize,Mozambique,Haldia,15.76
365577,2026-03-11,Handysize,Russia,Haldia,31.57
103449,2026-03-11,Capesize,Mozambique,Gopalpur,21.75
810585,2026-03-11,Supramax,Russia,Visakhapatnam,32.31
694761,2026-03-11,Supramax,Indonesia,Gangavaram,23.94
42489,2026-03-11,Capesize,Australia,Visakhapatnam,15.36
213177,2026-03-11,Capesize,USA,Visakhapatnam,23.64
682569,2026-03-11,Supramax,Australia,Visakhapatnam,27.79
853257,2026-03-11,Supramax,USA,Visakhapatnam,35.01
847161,2026-03-11,Supramax,USA,Sagar/Sandheads,29.7
463113,2026-03-11,Panamax,Australia,Sagar/Sandheads,30.19
280233,2026-03-11,Handysize,Indonesia,Haldia,23.58
341193,2026-03-11,Handysize,Mozambique,Visakhapatnam,15.6
700857,2026-03-11,Supramax,Indonesia,Gopalpur,18.47
566745,2026-03-11,Panamax,Russia,Gangavaram,31.35
85161,2026-03-11,Capesize,Indonesia,Visakhapatnam,17.94
414345,2026-03-11,Handysize,USA,Paradip,28.37
207081,2026-03-11,Capesize,USA,Sagar/Sandheads,23.81
517977,2026-03-11,Panamax,Mozambique,Dhamra,26.34
731337,2026-03-11,Supramax,Mozambique,Dhamra,30.33
200985,2026-03-11,Capesize,USA,Paradip,16.62
603321,2026-03-11,Panamax,USA,Dhamra,35.98
359481,2026-03-11,Handysize,Russia,Gopalpur,21.7
146121,2026-03-11,Capesize,Russia,Gopalpur,17.17
591129,2026-03-11,Panamax,Russia,Sagar/Sandheads,36.42
24201,2026-03-11,Capesize,Australia,Haldia,19.76
706953,2026-03-11,Supramax,Indonesia,Haldia,23.77
66873,2026-03-11,Capesize,Indonesia,Haldia,22.72
30297,2026-03-11,Capesize,Australia,Paradip,18.32
377769,2026-03-11,Handysize,Russia,Sagar/Sandheads,35.21
310713,2026-03-11,Handysize,Mozambique,Gangavaram,20.57
554553,2026-03-11,Panamax,Mozambique,Visakhapatnam,39.67
12009,2026-03-11,Capesize,Australia,Gangavaram,14.86
493593,2026-03-11,Panamax,Indonesia,Haldia,29.45
268041,2026-03-11,Handysize,Indonesia,Gangavaram,25.63
5913,2026-03-11,Capesize,Australia,Dhamra,18.59
719145,2026-03-11,Supramax,Indonesia,Sagar/Sandheads,21.74
780105,2026-03-11,Supramax,Russia,Gangavaram,36.83
188793,2026-03-11,Capesize,USA,Gopalpur,17.69
755721,2026-03-11,Supramax,Mozambique,Paradip,20.05
322905,2026-03-11,Handysize,Mozambique,Haldia,19.52
72969,2026-03-11,Capesize,Indonesia,Paradip,14.85
316809,2026-03-11,Handysize,Mozambique,Gopalpur,20.68
841065,2026-03-11,Supramax,USA,Paradip,34.15
54681,2026-03-11,Capesize,Indonesia,Gangavaram,13.81
79065,2026-03-11,Capesize,Indonesia,Sagar/Sandheads,18.56
621609,2026-03-11,Panamax,USA,Haldia,34.8
261945,2026-03-11,Handysize,Indonesia,Dhamra,14.36
115641,2026-03-11,Capesize,Mozambique,Paradip,13.9
664281,2026-03-11,Supramax,Australia,Haldia,30.02
597225,2026-03-11,Panamax,Russia,Visakhapatnam,29.29
511881,2026-03-11,Panamax,Indonesia,Visakhapatnam,30.68
36393,2026-03-11,Capesize,Australia,Sagar/Sandheads,15.94
389961,2026-03-11,Handysize,USA,Dhamra,25.55
402153,2026-03-11,Handysize,USA,Gopalpur,25.02
743529,2026-03-11,Supramax,Mozambique,Gopalpur,20.14
292425,2026-03-11,Handysize,Indonesia,Sagar/Sandheads,26.24
798393,2026-03-11,Supramax,Russia,Paradip,24.39
286329,2026-03-11,Handysize,Indonesia,Paradip,20.88
469209,2026-03-11,Panamax,Australia,Visakhapatnam,37.79
121737,2026-03-11,Capesize,Mozambique,Sagar/Sandheads,23.52
335097,2026-03-11,Handysize,Mozambique,Sagar/Sandheads,26.55
